nome,id
ramal de bairro oficinas,1
sub-ramal de rio branco do sul,2
paranagua - uvaranas,3
desvio ribas - eng. gutierrez,4
eng. bley - mafra,5
mafra - francisco do sul,6
eng. gutierrez - guarapuava,7
jaguariaiva - uvaranas,8
jaguariaiva - marques dos reis,9
ramal da fabrica pisa,10
ramal de maringa,11
ramal de antonina,12
ramal de harmonia,13
ramal de curitiba,14
mafra - marcelino ramos,15
mafra - lages,16
uvaranas - pinhalzinho,17
uvaranas - apucarana,18
bage - rio grande,19
ramal de cachoeira do sul,20
cacequi - bage,21
cacequi - uruguaiana,22
cruz alta - santo angelo,23
cruz alta - passo fundo,24
dilermando de aguiar - santiago,25
diretor pestana - triangulo,26
entroncamento - livramento,27
general luz - roca sales,28
ramal de jaboticaba - carlos barbosa,29
ramal de estrela,30
ramal do porto de porto alegre,31
passo fundo - marcelino ramos,32
ramal do porto de pelotas,33
patio industrial - rio pardo,34
roca sales - passo fundo,35
roca sales - lages,36
rio pardo - triangulo,37
santo angelo - santa rosa,38
ligacao santiago - santo angelo,39
santiago - sao borja,40
ourinhos - cianorte,41
itabopoa - apiai,42
ipero - pinhalzinho,43
rubiao junior - presidente epitacio,44
triangulo - cruz alta,45
triangulo - cacequi,46
